Exp_Type,col_no,wash,Sample_ID,doc_mg_l,npoc_flag,tdn_mg_l,tdn_flag
Control,1,0,TMP_C.1.0,12.83,NA,0.9168,blank is ≥ 15% of sample value
Control,2,0,TMP_C.2.0,15.95,NA,1.59,NA
Control,3,0,TMP_C.3.0,13.69,NA,1.387,blank is ≥ 15% of sample value
Control,4,0,TMP_C.4.0,20.04,NA,2.248,NA
Control,5,0,TMP_C.5.0,13.85,NA,1.095,blank is ≥ 15% of sample value
Control,1,1,TMP_C.1.1,6.453,NA,0.5031,blank is ≥ 15% of sample value
Control,2,1,TMP_C.2.1,6.278,NA,0.3583,blank is ≥ 15% of sample value
Control,3,1,TMP_C.3.1,4.006,NA,0.3891,blank is ≥ 15% of sample value
Control,4,1,TMP_C.4.1,9.871,NA,0.4971,blank is ≥ 15% of sample value
Control,5,1,TMP_C.5.1,5.489,NA,0.4773,blank is ≥ 15% of sample value
Control,1,10,TMP_C.1.10,8.892,NA,0.6355,blank is ≥ 15% of sample value
Control,2,10,TMP_C.2.10,9.654,NA,0.5466,blank is ≥ 15% of sample value
Control,3,10,TMP_C.3.10,4.114,NA,0.495,blank is ≥ 15% of sample value
Control,4,10,TMP_C.4.10,12.16,NA,0.3955,blank is ≥ 15% of sample value
Control,5,10,TMP_C.5.10,6.679,NA,0.3236,blank is ≥ 15% of sample value
Control,1,11,TMP_C.1.11,8.978,NA,0.5031,blank is ≥ 15% of sample value
Control,2,11,TMP_C.2.11,10.69,NA,0.4335,blank is ≥ 15% of sample value
Control,3,11,TMP_C.3.11,4.393,NA,0.3467,blank is ≥ 15% of sample value
Control,4,11,TMP_C.4.11,12.7,NA,0.3984,blank is ≥ 15% of sample value
Control,5,11,TMP_C.5.11,7.502,NA,0.3649,blank is ≥ 15% of sample value
Control,1,12,TMP_C.1.12,8.282,NA,0.4632,blank is ≥ 15% of sample value
Control,2,12,TMP_C.2.12,10.28,NA,0.4542,blank is ≥ 15% of sample value
Control,3,12,TMP_C.3.12,4.49,NA,0.3297,blank is ≥ 15% of sample value
Control,4,12,TMP_C.4.12,12.45,NA,0.4351,blank is ≥ 15% of sample value
Control,5,12,TMP_C.5.12,6.722,NA,0.3282,blank is ≥ 15% of sample value
Control,1,2,TMP_C.1.2,8.801,NA,0.5512,blank is ≥ 15% of sample value
Control,2,2,TMP_C.2.2,9.992,NA,0.3843,blank is ≥ 15% of sample value
Control,3,2,TMP_C.3.2,5.738,NA,0.4426,blank is ≥ 15% of sample value
Control,4,2,TMP_C.4.2,14.49,NA,0.4631,blank is ≥ 15% of sample value
Control,5,2,TMP_C.5.2,7.949,NA,0.4573,blank is ≥ 15% of sample value
Control,1,3,TMP_C.1.3,8.838,NA,0.5195,blank is ≥ 15% of sample value
Control,2,3,TMP_C.2.3,10.71,NA,0.4318,blank is ≥ 15% of sample value
Control,3,3,TMP_C.3.3,5.391,NA,0.4067,blank is ≥ 15% of sample value
Control,4,3,TMP_C.4.3,15.33,NA,0.4599,blank is ≥ 15% of sample value
Control,5,3,TMP_C.5.3,8.035,NA,0.4548,blank is ≥ 15% of sample value
Control,1,4,TMP_C.1.4,8.983,NA,0.5,blank is ≥ 15% of sample value
Control,2,4,TMP_C.2.4,10.3,NA,0.4725,blank is ≥ 15% of sample value
