[Header]	
System	9 mL TOC-L with TNM	
S/W Version	1.00	
User		
Date/Time	4/1/2024 4:43:40 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Unknown	NPOC	Blank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_only_50uL_Method_Nov_2022.met	C:\TOC-L\CalCurves\2024\January\NPOC_0-10ppm_20240131.2024_02_01_15_56_23.cal	1.00		2/1/2024 8:49:20 PM	1	1	NPOC	0.7842	0.1809	NPOC:0.2083mg/L	15	0	50	1.000	
Unknown	NPOC	Blank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_only_50uL_Method_Nov_2022.met	C:\TOC-L\CalCurves\2024\January\NPOC_0-10ppm_20240131.2024_02_01_15_56_23.cal	1.00		2/1/2024 8:52:00 PM	1	2	NPOC	0.9688	0.2343	NPOC:0.2083mg/L	15	0	50	1.000	
Unknown	NPOC	Blank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_only_50uL_Method_Nov_2022.met	C:\TOC-L\CalCurves\2024\January\NPOC_0-10ppm_20240131.2024_02_01_15_56_23.cal	1.00		2/1/2024 8:54:35 PM	1	3	NPOC	0.8838	0.2097	NPOC:0.2083mg/L	15	0	50	1.000	
Unknown	NPOC	TMP_5.A.4_EXP	Untitled	C:\TOC-L\Methods\9mL_NPOC_only_50uL_Method_Nov_2022.met	C:\TOC-L\CalCurves\2024\January\NPOC_0-10ppm_20240131.2024_02_01_15_56_23.cal	1.00		2/1/2024 9:04:51 PM	1	1	NPOC	41.71	12.02	NPOC:11.97mg/L	16	0	50	1.000	
Unknown	NPOC	TMP_5.A.4_EXP	Untitled	C:\TOC-L\Methods\9mL_NPOC_only_50uL_Method_Nov_2022.met	C:\TOC-L\CalCurves\2024\January\NPOC_0-10ppm_20240131.2024_02_01_15_56_23.cal	1.00		2/1/2024 9:08:30 PM	1	2	NPOC	41.78	12.04	NPOC:11.97mg/L	16	0	50	1.000	
Unknown	NPOC	TMP_5.A.4_EXP	Untitled	C:\TOC-L\Methods\9mL_NPOC_only_50uL_Method_Nov_2022.met	C:\TOC-L\CalCurves\2024\January\NPOC_0-10ppm_20240131.2024_02_01_15_56_23.cal	1.00		2/1/2024 9:11:55 PM	1	3	NPOC	41.10	11.84	NPOC:11.97mg/L	16	0	50	1.000	
Unknown	NPOC	TMP_100.C.5_EXP	Untitled	C:\TOC-L\Methods\9mL_NPOC_only_50uL_Method_Nov_2022.met	C:\TOC-L\CalCurves\2024\January\NPOC_0-10ppm_20240131.2024_02_01_15_56_23.cal	1.00		2/1/2024 9:22:33 PM	1	1	NPOC	148.5	42.91	NPOC:42.27mg/L	17	0	50	1.000	
Unknown	NPOC	TMP_100.C.5_EXP	Untitled	C:\TOC-L\Methods\9mL_NPOC_only_50uL_Method_Nov_2022.met	C:\TOC-L\CalCurves\2024\January\NPOC_0-10ppm_20240131.2024_02_01_15_56_23.cal	1.00		2/1/2024 9:26:10 PM	1	2	NPOC	145.9	42.16	NPOC:42.27mg/L	17	0	50	1.000	
Unknown	NPOC	TMP_100.C.5_EXP	Untitled	C:\TOC-L\Methods\9mL_NPOC_only_50uL_Method_Nov_2022.met	C:\TOC-L\CalCurves\2024\January\NPOC_0-10ppm_20240131.2024_02_01_15_56_23.cal	1.00		2/1/2024 9:29:47 PM	1	3	NPOC	144.4	41.73	NPOC:42.27mg/L	17	0	50	1.000	
Unknown	NPOC	TMP_0.B.6_EXP	Untitled	C:\TOC-L\Methods\9mL_NPOC_only_50uL_Method_Nov_2022.met	C:\TOC-L\CalCurves\2024\January\NPOC_0-10ppm_20240131.2024_02_01_15_56_23.cal	1.00		2/1/2024 9:40:14 PM	1	1	NPOC	74.10	21.39	NPOC:20.74mg/L	18	1	50	1.000	
